Entry	Entry name	Protein names	Gene names	Gene names  (synonym )	Gene names  (primary )	Mass	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Subcellular location [CC]	Tissue specificity
P0AA43	RSUA_ECOLI	Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)	rsuA yejD b2183 JW2171	yejD	rsuA	25,865	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	cytosol [GO:0005829]	cytosol [GO:0005829]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]	GO:0000455; GO:0003723; GO:0005829; GO:0009982; GO:0120159		
P0AGD3	SODF_ECOLI	Superoxide dismutase [Fe] (EC 1.15.1.1)	sodB b1656 JW1648		sodB	21,266	removal of superoxide radicals [GO:0019430]; response to superoxide [GO:0000303]; superoxide metabolic process [GO:0006801]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; superoxide dismutase activity [GO:0004784]; removal of superoxide radicals [GO:0019430]; response to superoxide [GO:0000303]; superoxide metabolic process [GO:0006801]	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; superoxide dismutase activity [GO:0004784]	GO:0000303; GO:0004784; GO:0005506; GO:0005737; GO:0005829; GO:0006801; GO:0016020; GO:0016491; GO:0019430		
P30852	SMF_ECOLI	Protein Smf	smf b4473 JW5708		smf	40,955	DNA mediated transformation [GO:0009294]		DNA mediated transformation [GO:0009294]		GO:0009294		
P76053	SMRA_ECOLI	Probable DNA endonuclease SmrA (EC 3.1.-.-)	smrA ydaL b1340 JW1334	ydaL	smrA	21,512			DNA binding [GO:0003677]; endodeoxyribonuclease activity [GO:0004520]	DNA binding [GO:0003677]; endodeoxyribonuclease activity [GO:0004520]	GO:0003677; GO:0004520		
P76112	MNAT_ECOLI	L-amino acid N-acyltransferase MnaT (EC 2.3.1.-) (L-methionine N-acyltransferase) (L-methionine sulfoximine/L-methionine sulfone N-acetyltransferase) (L-phenylglycine N-acetyltransferase)	mnaT yncA b1448 JW5233	yncA	mnaT	19,248			methione N-acyltransferase activity [GO:0103045]; N-acetyltransferase activity [GO:0008080]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	methione N-acyltransferase activity [GO:0103045]; N-acetyltransferase activity [GO:0008080]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]	GO:0008080; GO:0016747; GO:0103045		
P0ACV2	LPXP_ECOLI	Lipid A biosynthesis palmitoleoyltransferase (EC 2.3.1.242) (Kdo(2)-lipid IV(A) palmitoleoyltransferase)	lpxP ddg b2378 JW2375	ddg	lpxP	35,493	Kdo2-lipid A biosynthetic process [GO:0036104]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to cold [GO:0009409]	integral component of plasma membrane [GO:0005887]	integral component of plasma membrane [GO:0005887]; palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity [GO:0008951]; Kdo2-lipid A biosynthetic process [GO:0036104]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to cold [GO:0009409]	palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity [GO:0008951]	GO:0005887; GO:0008951; GO:0009103; GO:0009245; GO:0009409; GO:0036104	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01943, ECO:0000305}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01943}.	
P0AGC5	MLTF_ECOLI	Membrane-bound lytic murein transglycosylase F (EC 4.2.2.n1) (Murein lyase F)	mltF yfhD b2558 JW2542	yfhD	mltF	58,302	cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	cell outer membrane [GO:0009279]	cell outer membrane [GO:0009279]; carbon-oxygen lyase activity, acting on polysaccharides [GO:0016837]; lytic transglycosylase activity [GO:0008933]; cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	carbon-oxygen lyase activity, acting on polysaccharides [GO:0016837]; lytic transglycosylase activity [GO:0008933]	GO:0008933; GO:0009253; GO:0009279; GO:0016837; GO:0016998; GO:0071555	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000255|HAMAP-Rule:MF_02016, ECO:0000269|PubMed:18234673}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_02016, ECO:0000269|PubMed:18234673}. Note=Attached to the inner leaflet of the outer membrane.	
P0A746	MSRB_ECOLI	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB yeaA b1778 JW1767	yeaA	msrB	15,451	protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; iron ion binding [GO:0005506]; peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; zinc ion binding [GO:0008270]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]	iron ion binding [GO:0005506]; peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; zinc ion binding [GO:0008270]	GO:0005506; GO:0005737; GO:0005829; GO:0006979; GO:0008270; GO:0030091; GO:0033743		
P77165	PAOA_ECOLI	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA (EC 1.2.99.6)	paoA yagT b0286 JW0280	yagT	paoA	24,343		periplasmic space [GO:0042597]	periplasmic space [GO:0042597]; 2 iron, 2 sulfur cluster binding [GO:0051537]; carboxylate reductase activity [GO:0047770]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]	2 iron, 2 sulfur cluster binding [GO:0051537]; carboxylate reductase activity [GO:0047770]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]	GO:0009055; GO:0016903; GO:0042597; GO:0046872; GO:0047770; GO:0051537	SUBCELLULAR LOCATION: Periplasm {ECO:0000305|PubMed:19368556}.	
P07003	POXB_ECOLI	Pyruvate dehydrogenase [ubiquinone] (EC 1.2.5.1) (Pyruvate oxidase) (POX) (Pyruvate:ubiquinone-8 oxidoreductase)	poxB b0871 JW0855		poxB	62,011	pyruvate catabolic process [GO:0042867]; pyruvate metabolic process [GO:0006090]	cytosol [GO:0005829]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]	cytosol [GO:0005829]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; magnesium ion binding [GO:0000287]; pyruvate dehydrogenase (quinone) activity [GO:0052737]; thiamine pyrophosphate binding [GO:0030976]; ubiquinone binding [GO:0048039]; pyruvate catabolic process [GO:0042867]; pyruvate metabolic process [GO:0006090]	flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; magnesium ion binding [GO:0000287]; pyruvate dehydrogenase (quinone) activity [GO:0052737]; thiamine pyrophosphate binding [GO:0030976]; ubiquinone binding [GO:0048039]	GO:0000287; GO:0005829; GO:0005886; GO:0006090; GO:0008289; GO:0030976; GO:0032991; GO:0042802; GO:0042867; GO:0048039; GO:0050660; GO:0052737	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00850, ECO:0000269|PubMed:365232, ECO:0000305|PubMed:5336022}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00850, ECO:0000269|PubMed:365232, ECO:0000305|PubMed:5336022}; Cytoplasmic side {ECO:0000255|HAMAP-Rule:MF_00850, ECO:0000269|PubMed:365232}.	
P02359	RS7_ECOLI	30S ribosomal protein S7 (Small ribosomal subunit protein uS7)	rpsG b3341 JW3303		rpsG	20,019	negative regulation of translation [GO:0017148]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; ribosome [GO:0005840]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; negative regulation of translation [GO:0017148]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000028; GO:0000049; GO:0003729; GO:0003735; GO:0005829; GO:0005840; GO:0006412; GO:0016020; GO:0017148; GO:0019843; GO:0022627		
P46187	RSEC_ECOLI	Protein RseC	rseC b2570 JW2554		rseC	16,639	response to oxidative stress [GO:0006979]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; response to oxidative stress [GO:0006979]		GO:0005886; GO:0006979; GO:0016021	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	
P0AGB0	SERB_ECOLI	Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)	serB b4388 JW4351		serB	35,043	cellular amino acid biosynthetic process [GO:0008652]; dephosphorylation [GO:0016311]; L-serine biosynthetic process [GO:0006564]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; D-phosphoserine phosphatase activity [GO:0036425]; L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287]; phosphatase activity [GO:0016791]; phosphoserine phosphatase activity [GO:0004647]; cellular amino acid biosynthetic process [GO:0008652]; dephosphorylation [GO:0016311]; L-serine biosynthetic process [GO:0006564]	D-phosphoserine phosphatase activity [GO:0036425]; L-phosphoserine phosphatase activity [GO:0036424]; magnesium ion binding [GO:0000287]; phosphatase activity [GO:0016791]; phosphoserine phosphatase activity [GO:0004647]	GO:0000287; GO:0004647; GO:0005737; GO:0006564; GO:0008652; GO:0016311; GO:0016791; GO:0036424; GO:0036425		
P21170	SPEA_ECOLI	Biosynthetic arginine decarboxylase (ADC) (EC 4.1.1.19)	speA b2938 JW2905		speA	73,898	arginine catabolic process [GO:0006527]; putrescine biosynthetic process [GO:0009446]; putrescine biosynthetic process from arginine [GO:0033388]; spermidine biosynthetic process [GO:0008295]	periplasmic space [GO:0042597]	periplasmic space [GO:0042597]; arginine decarboxylase activity [GO:0008792]; metal ion binding [GO:0046872]; arginine catabolic process [GO:0006527]; putrescine biosynthetic process [GO:0009446]; putrescine biosynthetic process from arginine [GO:0033388]; spermidine biosynthetic process [GO:0008295]	arginine decarboxylase activity [GO:0008792]; metal ion binding [GO:0046872]	GO:0006527; GO:0008295; GO:0008792; GO:0009446; GO:0033388; GO:0042597; GO:0046872	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:2198270}.	
P0A8W2	SLYA_ECOLI	Transcriptional regulator SlyA	slyA b1642 JW5267		slyA	16,353	negative regulation of DNA-templated transcription, initiation [GO:2000143]; pathogenesis [GO:0009405]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]		DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; negative regulation of DNA-templated transcription, initiation [GO:2000143]; pathogenesis [GO:0009405]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription, DNA-templated [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0003700; GO:0006355; GO:0009405; GO:0045893; GO:2000143; GO:2000144		
P0AGC7	SMP_ECOLI	Probable inner membrane protein Smp	ytjB smp b4387 JW4350	smp	ytjB	24,083		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:2684780}; Single-pass membrane protein {ECO:0000255}.	
P77326	TFAS_ECOLI	Putative protein TfaS (Putative tail fiber assembly protein homolog from prophage CPS-53)	tfaS b2353 JW5383		tfaS	12,658							
P02929	TONB_ECOLI	Protein TonB	tonB exbA b1252 JW5195	exbA	tonB	26,094	cobalamin transport [GO:0015889]; colicin transport [GO:0042914]; protein transport [GO:0015031]; receptor-mediated bacteriophage irreversible attachment to host cell [GO:0098002]; siderophore transport [GO:0015891]	cell envelope [GO:0030313]; integral component of external side of plasma membrane [GO:0071575]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]	cell envelope [GO:0030313]; integral component of external side of plasma membrane [GO:0071575]; outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]; energy transducer activity [GO:0031992]; protein domain specific binding [GO:0019904]; siderophore transmembrane transporter activity [GO:0015343]; cobalamin transport [GO:0015889]; colicin transport [GO:0042914]; protein transport [GO:0015031]; receptor-mediated bacteriophage irreversible attachment to host cell [GO:0098002]; siderophore transport [GO:0015891]	energy transducer activity [GO:0031992]; protein domain specific binding [GO:0019904]; siderophore transmembrane transporter activity [GO:0015343]	GO:0005886; GO:0015031; GO:0015343; GO:0015889; GO:0015891; GO:0019904; GO:0030288; GO:0030313; GO:0031992; GO:0042914; GO:0071575; GO:0098002; GO:0098797	SUBCELLULAR LOCATION: Cell inner membrane; Single-pass membrane protein; Periplasmic side.	
P0AAR0	TOMB_ECOLI	Hha toxicity modulator TomB (Toxin overexpression modulator in biofilms)	tomB ybaJ b0461 JW0450	ybaJ	tomB	14,557	single-species biofilm formation [GO:0044010]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; DNA binding [GO:0003677]; single-species biofilm formation [GO:0044010]	DNA binding [GO:0003677]	GO:0003677; GO:0005737; GO:0044010	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
P36938	PGM_ECOLI	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Glucose phosphomutase)	pgm b0688 JW0675		pgm	58,361	carbohydrate metabolic process [GO:0005975]; glucose metabolic process [GO:0006006]	cytosol [GO:0005829]	cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; carbohydrate metabolic process [GO:0005975]; glucose metabolic process [GO:0006006]	magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]	GO:0000287; GO:0004614; GO:0005829; GO:0005975; GO:0006006	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21778229}.	
P55799	PRP2_ECOLI	Serine/threonine-protein phosphatase 2 (EC 3.1.3.16)	pphB prpB ygbH b2734 JW2704	prpB ygbH	pphB	25,098			metal ion binding [GO:0046872]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]	metal ion binding [GO:0046872]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]	GO:0008138; GO:0046872; GO:0106306; GO:0106307		
P42911	PTPD_ECOLI	N-acetylgalactosamine permease IID component (EIID-Aga) (PTS system N-acetylgalactosamine-specific EIID component)	agaD yraF b3140 JW3109	yraF	agaD	29,001	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]		GO:0005886; GO:0005887; GO:0009401	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|PROSITE-ProRule:PRU00431, ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00431, ECO:0000269|PubMed:15919996}.	
P0A7D4	PURA_ECOLI	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA adeK b4177 JW4135	adeK	purA	47,345	'de novo' AMP biosynthetic process [GO:0044208]; adenosine biosynthetic process [GO:0046086]; cellular response to DNA damage stimulus [GO:0006974]; IMP metabolic process [GO:0046040]; nucleobase-containing small molecule interconversion [GO:0015949]; purine nucleotide biosynthetic process [GO:0006164]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]; adenosine biosynthetic process [GO:0046086]; cellular response to DNA damage stimulus [GO:0006974]; IMP metabolic process [GO:0046040]; nucleobase-containing small molecule interconversion [GO:0015949]; purine nucleotide biosynthetic process [GO:0006164]	adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0005829; GO:0006164; GO:0006974; GO:0015949; GO:0016020; GO:0044208; GO:0046040; GO:0046086	SUBCELLULAR LOCATION: Cytoplasm.	
